model,params_million,macs_giga,flops_giga,latency_ms_mean,latency_ms_std,throughput_images_per_sec,peak_memory_gb
T0 target-only,9.839734,30.1776896,60.3553792,5.979909123852849,0.02582527572612934,167.2266215570348,0.1542196273803711
T1 source-initialized,9.839734,30.1776896,60.3553792,7.588006518781185,0.5612401363004862,131.78691893910283,0.1542196273803711
