                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9572,                 4.5817,                 1.6026,                0.40875,                0.50604,                 0.4232,                0.18801,                 4.0337,                 2.3375,                 1.6606,             0.00030174,             0.00030174,             0.00030174
                      2,                 3.9238,                   2.36,                  1.571,                 0.6474,                0.57305,                0.60278,                0.29376,                 3.8548,                  1.851,                 1.5865,              0.0005748,              0.0005748,              0.0005748
                      3,                 3.8638,                 1.8259,                  1.543,                0.59023,                0.46548,                0.47835,                0.23121,                 4.0065,                 2.7382,                 1.7492,             0.00081787,             0.00081787,             0.00081787
                      4,                 3.8561,                    1.7,                 1.5437,                0.69328,                0.61369,                 0.6717,                0.32732,                 3.9263,                 1.5353,                 1.6085,             0.00077401,             0.00077401,             0.00077401
                      5,                 3.8064,                  1.593,                 1.5116,                0.63557,                0.67801,                0.68763,                0.36729,                 3.7921,                 1.4005,                 1.5169,             0.00072902,             0.00072902,             0.00072902
                      6,                 3.7692,                 1.5019,                 1.4953,                0.65394,                0.71417,                0.74232,                0.38889,                  3.787,                 1.3452,                 1.5095,             0.00068402,             0.00068402,             0.00068402
                      7,                 3.7355,                  1.458,                 1.4707,                0.62869,                0.68264,                0.70085,                0.36355,                 3.8112,                 1.4053,                 1.5354,             0.00063903,             0.00063903,             0.00063903
                      8,                 3.7188,                 1.4166,                 1.4603,                0.71389,                0.67634,                0.73564,                0.40314,                 3.7757,                 1.3042,                 1.5312,             0.00059403,             0.00059403,             0.00059403
                      9,                   3.69,                 1.3656,                  1.448,                0.68213,                0.73189,                0.74821,                 0.4126,                   3.74,                 1.2323,                   1.49,             0.00054904,             0.00054904,             0.00054904
                     10,                 3.6811,                 1.3441,                 1.4418,                0.72141,                0.74041,                0.77578,                0.42355,                 3.7274,                 1.2044,                 1.4749,             0.00050404,             0.00050404,             0.00050404
                     11,                 3.7189,                 1.2979,                 1.4942,                0.71505,                0.69349,                0.74736,                0.40945,                 3.7687,                  1.242,                 1.4853,             0.00045904,             0.00045904,             0.00045904
                     12,                 3.6733,                 1.2647,                 1.4753,                0.72066,                0.74714,                0.78731,                0.44567,                 3.6976,                 1.1408,                 1.4769,             0.00041405,             0.00041405,             0.00041405
                     13,                 3.6747,                 1.2225,                 1.4714,                0.72947,                 0.7495,                 0.7839,                0.44147,                 3.7054,                 1.1595,                 1.4734,             0.00036905,             0.00036905,             0.00036905
                     14,                 3.6493,                 1.1995,                 1.4571,                0.75302,                0.74553,                0.79293,                0.46103,                 3.6679,                 1.0897,                 1.4551,             0.00032406,             0.00032406,             0.00032406
                     15,                 3.6304,                 1.1646,                 1.4495,                0.77483,                0.75271,                0.81022,                0.46843,                 3.6715,                 1.0889,                  1.459,             0.00027906,             0.00027906,             0.00027906
                     16,                 3.6077,                 1.1245,                 1.4292,                0.75267,                0.76227,                0.79724,                0.47036,                 3.6502,                 1.0874,                 1.4346,             0.00023407,             0.00023407,             0.00023407
                     17,                 3.5807,                 1.1034,                 1.4176,                0.75197,                0.78194,                0.81121,                0.48036,                 3.6305,                 1.0392,                 1.4307,             0.00018907,             0.00018907,             0.00018907
                     18,                 3.5542,                 1.0707,                 1.3979,                0.75322,                0.78174,                0.80946,                0.47902,                 3.6352,                  1.035,                 1.4341,             0.00014408,             0.00014408,             0.00014408
                     19,                 3.5314,                 1.0474,                 1.3819,                0.77837,                0.78083,                 0.8251,                0.48888,                 3.6354,                 1.0164,                 1.4261,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 3.5047,                 1.0012,                  1.361,                0.75574,                0.79384,                0.81988,                0.48901,                 3.6214,                0.98703,                  1.415,             5.4086e-05,             5.4086e-05,             5.4086e-05
